,Review Title,Rating,Reviews
0,Intrusive Data collection Apps- can't be disabled,2.0 out of 5 stars,"Read other reviews for hardware and performance. This is for PRIVACYThis is for the software. Comes with default IQOO apps. which cannot be un-installed. You can go deep into settings and manually remove permissions for each app ONLY. ANY software update or something as simple as launching a game will enable them again.The privacy policy clearly states the DATA GOES TO CHINA and is linked with device GUID,IMEI,IP address etc. here is the exact line4. Cross-border InformationTransmissionYour use of the Application indicates that you agree that iQ00 may transfer such information to areas other than your country or region according to the applicable laws.Apps-  Browser,easy Share,gamespace,iqoo.com,iqoo cloud are some of them"
1,Flagship Killer,5.0 out of 5 stars,Performance-5/5Battery Backup-5/5Fast charging-5/5Display-5/5Camera-5/5Design-5/5Will edit my review after a week of usage.
2,Worthy real flagship killer replacing oneplus,5.0 out of 5 stars,I have been using Neo 6 for last two days and I am in love with it.I am a regular user with primary usage for entertainment and browsing.. haven't experienced any lags and display performance is awesome..Perfectly fits in hand and doesn't feel overweight..Have tested taking a few samples on rear camera and surprisingly they come out to be good at this price point.. probably effect of being vivo's sub brand.. software optimisation is good..Overall I would give 9/10 for this device and easily recommend for anyone looking at this price point.
3,Just one word awesome ☺️,5.0 out of 5 stars,"                    The media could not be loaded.
                



 In this price range.... it's best.... you can trust me, please ignore negative comments!.Performance,camera, sensors, display battery all are really good.No lag,buttery smooth experience  thanks to great optimization and 120Hz refresh rate.Snapdragon 870 is handling all tasks very smoothly.One suggestion.Drain your battery 🔋 to zero,take one cup tea and some snacks,start watching daily soap/webseries for 35 minutes after putting the phone in charge.You will really surprise how could it be possible?!Phone is fully charged!!!(Thanks to 80 watt Vivo charger)NFC missing 😔SD card slot missing 😔3.5 mm jack missing 😔But after seeing the performance I can easily ignore these cons!!!"
4,"Honest opinion on this phone is that, Iqoo is innovating much better than OnePlus nowadays.",5.0 out of 5 stars,"As an Ios user, I am genuinely speaking that aboth camera performance and gaming experience are better than 50k budgets phones of Samsung s21fe or OnePlus 9rt..Two of my friends have both of these above smartphones, but they got surprised by the pictures which got captured by Iqoo Neo 6. Practically they admired the quality of the pictures captured by my device.Never thought that Iqoo can outperformed those device but it really happened..Honestly speaking Iqoo is innovating much better than OnePlus or Samsung like smartphones but don't know how many day's it will be continued.On my point of view I will surely suggest anyone to buy this smartphone as it has no major heating issues,no bugs problem,Funtouch OS is really much better than I expected, battery health is also nice, Camera performane and gaming experience is just outstanding.In one word it's a killer smartphone under budget 30k which can also beat 50k smartphones.Apart from these Iqoo Neo 6, I am also using iphone 13 and I will definitely upload a camera comparison video between these two smartphones."
5,Waste of money plz check my review video i just attached not recommended for gaming,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Not recommended for gaming and coustomer care not good experience i just use low configuration phone to upgrade to iq really disappointed my old phone better than this sorry very dissatisfied i don't know what to say waste of money no money worth it"
6,"Omg iQOO ♥️, you did it.🤤🖖💪🏻💪🏻💪🏻 You made a beast 🤖",5.0 out of 5 stars,"Maximum Power and maximum winnn...1. Commanding Sd 870, already proven, made even better with Graphic chip. Great job iqoo...2. Battery you gave awesome, but more awesome you gave charger. 80w omg delighted. Help me so much already3. Camera: other camera are okay and dont care. Main camera.u give OIS nd sweet deal. You give 64 MP, omg you already become best.4. Display = marvellous. 120hz feels like a dream. Many dont know E4. Amoled becomes even better5. Coming to my love that I am professional in, iqoo you did it. You made me fall love for you.I played BGMI for 3 hours agter delivery. 4hrs at night and can't stop playing omg iqoo what you do to me i am never doing anything now.- the cooling system works great. But 870 doesn't heat so that is- monster touch feels like not useful but we xperiance and it becomes habit... So good i want it all the time (high battery but okay)- touch sample is fast. Felt the difference was slow in mi realme and oneplus.So good that i forgot to eat.- os software ui. I have not use much till now nut editing videos from yesterday and it was smooth.... Like so fast i got to share 3 videos instantly........so i ve to say ui is near original... Like stoc android....1 day iqoo will be famous and i am Proud. My friend has iqoo 7 and he love it for so many years and now i love iqoo also."
7,Value for money product,5.0 out of 5 stars,Overall very good phone in this price point. I checked oneplus nord ce 2 as well but I think I got lot more with this specially my dream 8 series processor. I was skeptical about the UI but it is good. No ads is plus point compared xiaomis of the world.
8,Best budget phone in this range,5.0 out of 5 stars,"I've researched so many phones in a while and finally ordered MI11X , the phone was going to be delivered on 1 June and on 31st i saw this phone launching and researched about the specs of this phone the specs were higher of iqoo neo 6 in comparison of MI11X and then I cancelled my order to order this phone and I think that it's worth it because mi11x being 1 year old and having Android 11 gives some sort of ancient vibe and the camera of this phone is perfect in the range.Ignore the photo of my cat , he wasn't stillThe size of the phone is much pretty similar to iqoo z3 and it's somewhat lighter than iqooz3 idk if it's really is but it feels a little lighter in comparison of the weight of iqoo z3"
9,Let's bust some myth,4.0 out of 5 stars,"I ordered this phone based on specs it was providing, later I saw flood of negative reviews coming up on Amazon which made me test few of things that was mentioned, if it was true.1. Calls getting disconnected - I had call with my brother last night and we talked for 50 min and call did not disconnect in the middle.2. Heating issue - While in day to day use never faced heating issue but It gets a little hot while charging, I can understand because of massive fast charging which is understandable. Every phone with fast charging heats a little.3. Camera Quality - It has a decent 64 mp Samsung camera module which is justified at price it comes. You can judge the camera based on how well it performs indoor with artificial lighting conditions and this has done good. Attached pic of cake which I clicked indoor only bright light source was candle. It performed well I can say.(To people who complaint about camera -  I just cannot expect picture clarity of Apple or Samsung high end devices, i have to set my expectations right for the price we have paid)4. AnTuTu Benchmark Score - While company claim of 740000+ while I tested i got a score of 700000+ . I again cannot complaint here because I don't know what was the testing conditions and criteria that company had followed while testing. 700000+ is pretty decent score I can say5. Phone lag - In two days of testing it has not lagged at all. With multiple background apps running.6. Battery Drain - Revisit few of the settings on your device, like animation, transition effect etc to get most out of your battery. If your batter is set of monstor mode set it to normal or battery saver to make most. Again battery depends of usage of individual and i cannot blame company. While I started to write this review my cell phone was at 100%. Now it's almost 25 min typing till now it's now showing 99%, i have set my screen at full brightness, i fell its decent. Also tested charging speed 0 to 50 in 12.03 min.7. Build quality - It's sturdy and decent plastic is used. I can say at this price point they should have provided glass build but again considering all price benefit you have got while buying this phone no complaint (Card Discount + Exchange Benefit etc) . Still I would take out 1 star here.8. Black colour issue - Did not face any problem with screen leak or black colour. It's AMOLED screen. Black is highlight of AMOLED. In case you were using IPS / FHD panel on your previous phone you will have trouble distinguishing. I have Samsung M51 as secondary device and i see black similar on both.9. BGMI - I played few rounds yesterday and did not face any frame drop or lag.10. Two year warranty - They calaimed to provide two year warranty on this device but during registration it shows only 1 year. I have personally wrote to Iqoo team and Amazon team seeking an answer, with screenshots waiting for answer.BTW majority of phone manufacturers provide 1 year warranty only, even iPhone. Here I would say fight for you justice and seek answer from Iqoo or Amazon Team.11. Video call lag - Did not face any, did multiple video calls yesterday with different people, did not get any complaint from them about my video lag. For all of them my video popped up instantaneous.Overall I would say I had a great buy and can recommend this device to others , for all the folks bombarding negative reviews, I would say first set your expectations right and you will be satisfied. In case even still you are facing problem then you have every right to complaint and get justice.Overall i give this device a 4 star as of now since I am yet to test this device long term like 3 months or 4 months.*Please excuse any typos or grammatical errors if any. Entire review was typed on my phone Iqoo Neo 6."
